id,en,el,fr,de,pl,pt_BR,ru,zh_TW
Redo,Redo,Ακύρωση αναίρεσης,Refaire,Wiederherstellen,Przywróć zmiany,Refazer,Повторить,復原
Scale Image,Scale Image,Κλιμάκωση εικόνας,Redimensionner l'image,Bild skalieren,Skalowanie obrazu,Redimensionar Imagem,Увеличить изображение,調整尺寸
Crop Image,Crop Image,Περικοπή,Rogner l'image,Bild zuschneiden,Kadrowanie obrazu,Cortar Imagem,Обрезать выделенное,擷取部分圖片
Clear Selection,Clear Selection,Καθαρισμός επιλογής,Ne rien sélectionner,Ausgewählten Bereich löschen,Wyczyść zaznaczenie,Limpar Seleção,Снять выделение,清除選取區塊
Flip Horizontal,Flip Horizontal,Οριζόντια αναστροφή,Miroir horizontal,Horizontal spiegeln,Odbij w poziomie,Virar Horizontalmente,Отразить по горизонтали,水平翻轉
Flip Vertical,Flip Vertical,Κάθετη αναστροφή,Miroir vertical,Vertikal spiegeln,Odbij w pionie,Virar Verticalmente,Отразить по вертикале,垂直翻轉
Preferences,Preferences,Προτιμήσεις,Préférences,Einstellungen,Preferencje,Preferências,Настройки,偏好設定
Tile Mode,Tile Mode,Λειτουργία μοτίβου,Mode tuile,Tile Mode,Tryb kafelkowy,Mode de Tile,Замостить плиткой,拼圖模式
Show Grid,Show Grid,Εμφάνιση πλέγματος,Afficher la grille,Zeige Gitter,Pokaż siatkę,Mostrar Grade,Показывать сетку,顯示格線
Show Rulers,Show Rulers,Εμφάνιση χαράκων,Afficher les règles,Zeige Lineale,Pokaż linijki,Mostrar Réguas,Показывать линейку,顯示尺規
Show Guides,Show Guides,Εμφάνιση οδηγών,Afficher les guides,Zeige Anleitungen,Pokaż prowadnice,Mostrar Guias,Показывать направляющие,顯示輔助線
Fill with color:,Fill with color:,Γέμισμα με χρώμα:,Remplir avec la couleur :,Fülle mit Farbe,Wypełnij kolorem:,Preencher com cor:,Заливка цветом:,填滿
Open a File,Open a File,Άνοιγμα αρχείου,Ouvrir un fichier,Öffne eine Datei,Otwórz plik,Abrir um Arquivo...,Октрыть файл,打開舊檔
Open File(s),Open File(s),Άνοιγμα αρχείου/ων,Ouvrir des fichiers,Öffne Datei(en),Otwórz pliki,Abrir Arquivo(s)...,Открыть файл(ы),打開舊檔
IMPORT_FILE_LABEL,Import as new frame,Εισαγωγή ως νέο καρέ,Importer en tant que trame,Importier als neues Frame,Importuj jako nowa klatka,Importar como um novo quadro,Добавить как новый кадр,輸入為下一張
Save Sprite as .pxo,Save Sprite as .pxo,Αποθήκευση εικόνας ως .pxo,Enregistrer la sprite au format .pxo,Speichere Sprite als .pxo,Zapisz Sprite do .pxo,Salvar Sprite como .pxo,Сохранить Sprite как .pxo,存成 .pxo
Export Sprite,Export Sprite,Εξαγωγή εικόνας,Exporter une sprite,Exportiere Sprite,Eksportuj Sprite,Exportar Sprite,Экспортировать Sprite,輸出圖片
EXPORT_ALLFRAMES_LABEL,Export all frames,Εξαγωγή όλων των καρέ,Exporter toutes les trames,Exportiere alle Frames,Eksportuj wszystkie klatki,Exportar todos os quadros,Экспортировать все кадры как,個別輸出
EXPORT_FRAMES_ASFILE_LABEL,Export frames as a single file,Εξαγωγή όλων των καρέ στο ίδιο αρχείο,Exporter les trames en un seul fichier,Exportiere Frames als eine einzige Datei,Eksportuj klatki jako jeden plik,Exportar quadros em um só arquivo,Экспортировать кадры в один файл,輸出成一張spritesheet
EXPORT_VERTICAL_SPRITESHEET_LABEL,Vertical spritesheet,Κάθετη ευθυγράμμιση,Spritesheet vertical,Vertikales Spritesheet,Pionowy arkusz,Folha de sprites vertical,Экспорт Sprite-листа,垂直spritesheet
Path:,Path:,Διαδρομή:,Chemin :,Pfad:,Ścieżka:,Caminho:,Путь:,路徑:
Directories & Files:,Directories & Files:,Φάκελοι & Αρχεία:,Répertoires et fichiers :,Verzeichnisse & Dateien,Pliki oraz katalogi:,Diretórios e Arquivos:,Словари и файлы:,資料夾與檔案:
File:,File:,Αρχείο:,Fichier :,Datei:,Plik:,Arquivo:,Файл:,檔案:
Interpolation:,Interpolation:,Παρεμβολή:,Interpolation :,Interpolation,Interpolacja:,Interpolação:,Интерполяция:,插值:
Nearest,Nearest,Χωρίς,Le plus proche,Nächstes,Najbliższy sąsiad,Próximo,Ближайший,最近
Bilinear,Bilinear,Διγραμμική,Linéaire,Bilinear,Dwuliniowa,Bilinear,Бинарный,雙線性
Cubic,Cubic,Κυβική,Cubique,Kubisch,Sześcienna,Cúbico,Кубический,三次樣條
Trilinear,Trilinear,Τριγραμμική,Trilinéaire,Trilinear,Trójlinowa,Trilinear,Трехлинейный,三線性
Grid options,Grid options,Επιλογές πλέγματος,Configuration de la grille,Gitter Optionen,Ustawienia siatki,Opções da grade,Настройки сетки,格線設定
Color:,Color:,Χρώμα:,Couleur :,Farbe:,Kolor:,Cor:,Цвет:,顏色:
Language:,Language:,Γλώσσα:,Langue :,Sprache:,Język:,Linguagem:,Язык:,語言:
System Language,System Language,Γλώσσα Συστήματος,Langue système,System Sprache,Język systemowy,Linguagem do Sistema,Системный язык,系統語言
About Pixelorama,About Pixelorama,Σχετικά με το Pixelorama,À propos de Pixelorama,Über Pixelorama,O Pixeloramie,Sobre Pixelorama,О Pixeloram'е,關於 Pixelorama
MADEBY_LABEL,Your Free and Open Source Sprite Editor!\nDeveloped by Orama Interactive\n,Το δωρεάν και ανοιχτού κώδικα πρόγραμμά σας!\nΦτιαγμένο από την Orama Interactive\n,Votre éditeur de sprites libre et open source\nDéveloppé par Orama Interactive\n,Ihr kostenloser und opensource Pixeleditor!\nEntwickelt von Orama Interactive\n,Twój darmowy edytor Sprite-ów na otwartej licencji!\nTworzony przez: Orama Interactive\n,Seu Editor de Sprites Livre e de Código Aberto!\nDesenvolvido por Orama Interactive\n,Ваш бесплатный и открытый Sprite редактор!\nРазработано Orama Interactive\n,免費開源圖像編輯軟體!\n由Orama Interactive開發\n
Website,Website,Ιστοσελίδα,Site Web,Website,Strona internetowa,Website,Сайт,官網
Donate,Donate,Κάντε μια δωρεά,Faire un don,Spenden,Wspomóż,Doar,Поддержать,捐款
QUIT_LABEL,Are you sure you want to exit Pixelorama?,Σίγουρα θέλετε να βγείτε από το Pixelorama;,Voulez-vous vraiment quitter Pixelorama ?,Möchten sie Pixelorama wirklich verlassen?,Na pewno chcesz opuścić Pixeloramę?,Tem certeza que quer sair do Pixelorama?,Вы действительно хотите выйти из Pixeloram'ы?,確定要離開Pixelorama嗎?
Utility Tools,Utility Tools,Βοηθητικά Εργαλεία,Outils utilitaires,Dienstwerkzeuge,Narzędzia,Ferramentas Utilitárias,Сервисные инструменты,其他工具
RECTSELECT_HT,Rectangular Selection\n\nR for left mouse button\nAlt + R for right mouse button\n\nPress Shift to move the content,Ορθογώνια επιλογή\n\nR για το αριστερό κουμπί ποντικιού\nAlt + R για το δεξί κουμπί ποντικιού\n\nΠατήστε Shift για να μετακινηθεί το περιεχόμενο,Sélection rectangulaire\n\nR pour le bouton gauche de la souris\n\nAlt + R pour le bouton droit de la souris\n\nMaintenez Maj. appuyée pour déplacer le contenu,Rechteckige Auswahl\n\nR für die linke Maustaste\nAlt + R für die rechte Maustaste\n\nPresse Shift zum verschieben des Inhalts,Zaznaczenie prostokątne\n\nR dla lewego narzędzia\nAlt + R dla prawego narzędzia\n\nPrzytrzymaj Shift aby przenieść zawartość,Seleção Retangular\n\nR para o botão esquerdo do mouse\nAlt + R para o botão direito do mouse\n\nPressione Shift para mover o conteúdo,Прямоугольное выдиление\n\nR для ЛКМ\nAlt + R для ПКМ\n\nShift для перемещения контента,長方形選取\n\nR換成左鍵\nAlt + R換成右鍵\n\n按住Shift移動內容
COLORPICKER_HT,Color Picker\nSelect a color from a pixel of the sprite\n\nO for left mouse button\nAlt + O for right mouse button,Επιλογέας χρωμάτων\nΕπιλέξτε ένα χρώμα από ένα εικονοστοιχείο της εικόνας\n\nΟ για το αριστερό κουμπί ποντικιού\nAlt + Ο για το δεξί κουμπί ποντικιού,Sélecteur de couleurs\nSélectionnez la couleur d'un pixel de la sprite\n\nO pour le bouton gauche de la souris\n\nAlt + O pour le bouton droit de la souris,Farbauswahl\Wähle einr Farbe von einem Pixel des Sprites\n\nO für die linke Maustaste\nAlt + O für die rechte Maustaste,Próbnik\nPobiera kolor wybranego piksela do wybranego narzędzia.\n\nO dla lewego narzędzia\nAlt + O dla prawego narzędzia,Seleção de Cores\nSelecione a cor de um pixel do sprite\n\nO para o botão esquerdo do mouse\nAlt + O para o botão direito do mouse,Выбор цвета\nВыбрать цвет из пикселя Sprit'а\n\nO для ЛКМ\nAlt + O для ПКМ,撿色器\n取得圖片中某個像素的顏色\n\nO換成左鍵\nAlt + O換成右鍵
Draw Tools,Draw Tools,Εργαλεία Ζωγραφικής,Outils de dessin,Zeichnenwerkzeuge,Rysowanie,Ferramentas de Desenho,Инструменты рисования,繪製工具
PENCIL_HT,Pencil\n\nP for left mouse button\nAlt + P for right mouse button\n\nHold Shift to make a line,Μολύβι\n\nP για το αριστερό κουμπί ποντικιού\nAlt + P για το δεξί κουμπί ποντικιού\n\nΚρατήστε Shift για να τραβήξετε μια γραμμή,Crayon\n\nP pour le bouton gauche de la souris\n\nAlt + P pour le bouton droit de la souris\n\nMaintenez Maj. appuyée pour dessiner une ligne,"Bleistift\n\nP für linke Maustaste\nAlt + P für rechte Maustaste\n\nHalte Shift, um eine Linie zu bilden.",Ołówek\n\nP dla lewego narzędzia\nAlt + P dla prawego narzędzia\n\nPrzytrzymaj Shift aby narysować linię,Lápis\n\nP para o botão esquerdo do mouse\n\nAlt + P para o botão direito do mouse\n\nSegure Shift para desenhar uma linha,Карандаш\n\nP для ЛКМ\nAlt + P для ПКМ\n\nЗажать Shift для создания прямой,鉛筆\n\nP換成左鍵\nAlt + P換成右鍵\n\n按住Shift畫直線
ERASER_HT,Eraser\n\nE for left mouse button\nAlt + E for right mouse button\n\nHold Shift to make a line,Γόμα\n\nE για το αριστερό κουμπί ποντικιού\nAlt + E για το δεξί κουμπί ποντικιού\n\nΚρατήστε Shift για να τραβήξετε μια γραμμή,Gomme\n\nE pour le bouton gauche de la souris\n\nAlt + E pour le bouton droit de la souris\n\nMaintenez Maj. appuyée pour dessiner une ligne,"Radiergummi\n\nE für die linke Maustaste\nAlt + E für die rechte Maustaste\n\nHalte Shift, um eine Linie zu bilden.",Gumka\n\nE dla lewego narzędzia\nAlt + E dla prawego narzędzia\n\nPrzytrzymaj Shift aby użyć w linii prostej,Borracha\n\nE para o botão esquerdo do mouse\n\nAlt + E para o botão direito do mouse\n\nSegure Shift para desenhar uma linha,Ластик\n\nE для ЛКМ\nAlt + E для ПКМ\n\nЗажать Shift для очистки линией,橡皮擦\n\nE換成左鍵\nAlt + E換成右鍵\n\n按住Shift畫直線
BUCKET_HT,Bucket\n\nB for left mouse button\nAlt + B for right mouse button,Κουβάς\n\nB για το αριστερό κουμπί ποντικιού\nAlt + B για το δεξί κουμπί ποντικιού,Seau de remplissage\n\nB pour le bouton gauche de la souris\nAlt + B pour le bouton droit de la souris,Eimer\n\nB für linke Maustaste\nAlt + B für rechte Maustaste,Wiaderko\n\nB dla lewego narzędzia\nAlt + B dla prawego narzędzia,Preenchimento\n\nB para o botão esquerdo do mouse\n\nAlt + B para o botão direito do mouse,Заливка\n\nB для ЛКМ\nAlt + B для ПКМ,油漆桶\n\nB換成左鍵\nAlt + B換成右鍵
LD_HT,Lighten/Darken\n\nU for left mouse button\nAlt + U for right mouse button,Φώτισμα/Σκούρημα\n\nU για το αριστερό κουμπί ποντικιού\nAlt + U για το δεξί κουμπί ποντικιού,Éclaircir/Assombrir\n\nU pour le bouton gauche de la souris\nAlt + U pour le bouton droit de la souris,Erhellen/Verdunkeln\n\nU für linke Maustaste\nAlt + U für rechte Maustaste,Rozjaśnianie/Ściemnianie\n\nU dla lewego narzędzia\nAlt + U dla prawego narzędzia,Iluminar/Escurecer\n\nU para o botão esquerdo do mouse\n\nAlt + U para o botão direito do mouse,Высветление/Затемнение\n\nU для ЛКМ\nAlt + U ПКМ,變亮/變暗\n\nU換成左鍵\nAlt + U換成右鍵
LEFTCOLOR_HT,Choose a color for the left tool,Επιλέξτε ένα χρώμα για το αριστερό εργαλείο,Choisissez une couleur pour l'outil gauche,Wähle eine Farbe für das linke Werkzeug,Wybiera kolor dla lewego narzędzia,Escolha uma cor para a ferramenta esquerda,Выбор цвета для левого инструмента,選擇左鍵工具顏色
RIGHTCOLOR_HT,Choose a color for the right tool,Επιλέξτε ένα χρώμα για το δεξί εργαλείο,Choisissez une couleur pour l'outil droit,Wähle eine Farbe für das rechte Werkzeug,Wybiera kolor dla prawego narzędzia,Escolha uma cor para a ferramenta direita,Выбор цвета для правого инструмента,選擇右鍵工具顏色
COLORSWITCH_HT,Switch left and right colors\n(X),Εναλλαγή μεταξύ αριστερού και δεξιού χρώματος\n(X),Alterner les couleurs de gauche et de droite\n(X),Wechsle linke und rechte Farben\n(X),Podmienia lewy kolor z prawym kolorem\n(X),Mudar as cores esquerda e direita\n(X),Поменять цвета местами\n(X),左右工具顏色互換\n(X)
COLORDEFAULTS_HT,"Reset the colors to their default state (black for left, white for right)","Επαναφορά των χρωμάτων στην αρχική τους κατάσταση (μαύρο για το αριστερό, άσπρο για το δεξί)","Réinitialise les couleurs à leur état initial (noir pour l'outil gauche, blanc pour l'outil droit)","Setzt die Farben auf den Standardzustand zurück (schwarz für links, weiß für rechts).","Resetuje kolory do stanu domyślnego (czarny po lewej, biały po prawej)","Redefina as cores para o seu estado padrão (preto para a esquerda, branco para a direita)","Сбросить цвет по умолчанию (слева черный, справа белый)","顏色改回初始值(左黑色, 右白色)"
Raw Mode,Raw Mode,Ωμή Λειτουργία,Mode Raw,Raw-Mode,RGB w częściach setnych od 0.0 do 1.0,Modo Bruto,RGB от 0.0 до 1.0 (Raw Mode),Raw 模式
Left tool options,Left tool options,Επιλογές αριστερού εργαλείου,Options de l'outil gauche,Linke Werkzeugoptionen,Opcje lewego narzędzia,Opções da ferramenta esquerda,Настройки левого инструмента,左鍵工具選項
Right tool options,Right tool options,Επιλογές δεξιού εργαλείου,Options de l'outil droit,Rechte Werkzeugoptionen,Opcje prawego narzędzia,Opções da ferramente direita,Настройки правого инструмента,右鍵工具選項
Left pixel indicator,Left pixel indicator,Δείκτης αριστερού πιξελ,Indicateur de pixel gauche,Linke Pixelanzeige,Wskaźnik lewego pędzla,Pixel indicador esquerdo,Цвет для ЛКМ,左鍵工具準心
LEFT_INDIC_HT,Show left mouse pixel indicator or brush on the canvas when drawing,Εμφάνιση δείκτη για το εικονοστοιχείο ή το πινέλο πάνω στον καμβά που αντιστοιχεί στο αριστερό κουμπί του ποντικιού,Affiche un indicateur de pixel ou de brosse pour l'outil gauche lorsque vous dessinez,Zeige linkes Mausicon oder Pinsel auf der Leinwand wenn gezeichnet wird,Wyświetl wskaźnik lewego narzędzia lub pędzla podczas rysowania,Mostrar o indicador pixel do mouse esquerdo ou o pincel na tela quando desenhando,Отображать цвет кисти для ЛКМ во время рисования,在畫布上顯示左鍵工具
RIGHT_INDIC_HT,Show right mouse pixel indicator or brush on the canvas when drawing,Εμφάνιση δείκτη για το εικονοστοιχείο ή το πινέλο πάνω στον καμβά που αντιστοιχεί στο δεξί κουμπί του ποντικιού,Affiche un indicateur de pixel ou de brosse pour l'outil droit lorsque vous dessinez,Zeige rechtes Mausicon oder Pinsel auf der Leinwand wenn gezeichnet wird,Wyświetl wskaźnik prawego narzędzia lub pędzla podczas rysowania,Mostrar o indicador pixel do mouse direito ou o pincel na tela quando desenhando,Отображать цвет кисти для ПКМ во время рисования,在畫布上顯示右鍵工具
Right pixel indicator,Right pixel indicator,Δείκτης δεξιού πιξελ,Indicateur de pixel droit,Rechte Pixelanzeige,Wskaźnik prawego pędzla,Pixel indicador direito,Цвет для ПКМ,右鍵工具準心
Brush:,Brush:,Πινέλο:,Brosse :,Pinsel:,Pędzel:,Pincel:,Кисть:,畫筆
BRUSH_HT,Select a brush,Επιλέξτε ένα πινέλο,Sélectionnez une brosse,Wähle einen Pinsel,Wybierz pędzel,Selecione um pincel,Выбрать кисть,選擇畫筆
Brush: Pixel,Brush: Pixel,Πινέλο: Εικονοστοιχείο,Brosse : Pixel,Pinsel: Pixel,Pędzel: Piksel,Pincel: Pixel,Кисть: Пиксель,畫筆: 像素
Custom brush,Custom brush,Προσαρμοσμένο πινέλο,Brosse personnalisée,Benutzerdefinierter Pinsel,Niestandardowy pędzel,Pincel customizado,Текущая кисть,自訂畫筆
Brush size:,Brush size:,Μέγεθος πινέλου:,Taille de la brosse :,Pinselgröße:,Rozmiar pędzla:,Tamanho do pincel:,Размер кисти:,畫筆大小:
Brush color from,Brush color from,Χρώμα πινέλου από,Couleur de la brosse depuis,Pinselfarbe von,Nadpisywanie koloru pędzla,Cor de pincel do,Цвет кисти,畫筆顏色
COLORFROM_HT,"0: Color from the brush itself, 100: the currently selected color","0: Χρώμα από το πινέλο, 100: επιλεγμένο χρώμα","0 : Couleur depuis la brosse elle-même, 100 : la couleur actuellement sélectionnée","0: Farbe von dem Pinsel selbst, 100: die aktuell ausgewählte Farbe","0: Kolor pochodzący z samego pędzla, 100: Obecnie wybrany kolor rysowania","0: Cor do próprio pincel, 100: A cor atualmente selecionada","0: Собственный цвет кисти, 100: Выбранный цвет","0: 畫筆自己的顏色, 100: 目前選定的顏色"
Fill area:,Fill area:,Περιοχή γεμίσματος:,Remplissage de zone :,Fülle Bereich,Wypełnij przestrzeń:,Área de preenchimento:,Залить область:,填滿:
Area of the same color,Area of the same color,Περιοχή ίδιου χρώματος,Zone de la même couleur,Bereich mit der selben Farbe,Przestrzeń o takim samym kolorze,Área da mesma cor,Область того же цвета,同顏色的區塊
All pixels of the same color,All pixels of the same color,Όλα τα πίξελ ίδιου χρώματος,Tous les pixels de la même couleur,Alle Pixel mit der selben Farbe,Wszystkie piksele tego samego koloru,Todos os pixels da mesma cor,Все точки такого же цвета,同顏色的像素
Lighten,Lighten,Φώτισμα,Éclaircir,Erhellen,Rozjaśnianie,Iluminar,Высветлить,變亮
Darken,Darken,Σκούρημα,Assombrir,Verdunkeln,Przyciemnianie,Escurecer,Затемнить,變暗
Amount:,Amount:,Ποσό:,Quantité :,Menge:,Siła:,Quantidade:,Кол-во:,程度:
LDAMOUNT_HT,Lighten/Darken amount,Ποσό φωτίσματος ή σκουρήματος,Quantité d'éclaircissement/assombrissement,Erhellen/Verdunkeln Menge,Siła rozjaśnienia/przyciemnienia,Quantidade de iluminação/escurecimento:,Интенсивность Высветления/Затемнения,變亮或變暗的程度
Mirroring,Mirroring,Κατοπτρισμός,Miroir,Spiegeln,Lustrzane odbicie,Espelhamento,Отразить зеркально,鏡像
Horizontal,Horizontal,Οριζόντια,Horizontal,Horizontal spiegeln,Poziome,Horizontal,Горизонально,水平
HORIZMIRROR_HT,Enable horizontal mirrored drawing,Ενεργοποίηση ζωγραφικής με οριζόντιο κατοπτρισμό,Dessine avec un miroir horizontal,Aktiviere horizontal gespiegelte Zeichnung ,Włącza lustrzane odbicie w poziomie podczas rysowania,Ativar desenho com espelhamento horizontal,Режим рисования горизонтального зеркалирования,開啟水平鏡像
VERTMIRROR_HT,Enable vertical mirrored drawing,Ενεργοποίηση ζωγραφικής με κάθετο κατοπτρισμό,Dessine avec un miroir vertical,Aktiviere vertikale gespiegelte Zeichnung,Włącza lustrzane odbicie w pionie podczas rysowania,Ativar desenho com espelhamento vertical,Режим рисования вертикального зеркалирования,開啟垂直鏡像
Vertical,Vertical,Κάθετα,Vertical,Vertikal,Pionowe,Vertical,Вертикально,垂直
Current frame:,Current frame:,Τρέχον καρέ:,Trame actuelle :,Aktueller Frame,Obecna klatka:,Quadro atual:,Текущий кадр:,目前畫面:
Current frame: 1/1,Current frame: 1/1,Τρέχον καρέ: 1/1,Trame actuelle : 1/1,Aktueller Frame 1/1,Obecna klatka: 1/1,Quadro atual: 1/1,Текущий кадр: 1/1,目前畫面: 1/1
FIRSTFRAME_HT,Jump to the first frame\n(Ctrl+Home),Μετάβαση στο πρώτο καρέ\n(Ctrl+Home),Aller à la première trame\n(Ctrl + Orig.),Springe zu dem ersten Frame\n(Strg+Home),Skocz do pierwszej klatki\n(Ctrl+Home),Pular para o primeiro quadro\n(Ctrl + Home),Перейти к первому кадру\n(Ctrl+Home),跳到第一張\n(Ctrl+Home)
PREVIOUSFRAME_HT,Go to the previous frame\n(Ctrl+Left),Μετάβαση στο προηγούμενο καρέ\n(Ctrl+Αριστερά),Aller à la trame précédente\n(Ctrl + Gauche),Gehe zu dem letzten Frame\n(Strg+Pfeil nach Links),Przejdź do poprzedniej klatki\n(Ctrl+Strzałka w lewo),Ir para o quadro anterior\n(Ctrl + Left),На предыдущий кадр\n(Ctrl+Left),到前一張\n(Ctrl+Left)
PLAYBACKWARDS_HT,Play the animation backwards (from end to beginning)\n(F4),Αναπαραγωγή της κίνησης ανάποδα (από το τέλος προς την αρχή)\n(F4),Jouer l'animation à l'envers (de la fin vers le début)\n(F4),Spiele die Animation rückwärts ab (vom Ende bis zum Anfang)\n(F4),Odtwórz animację od końca\n(F4),Toque a animação de trás pra frente (do fim até o começo)\n(F4),Проиграть анимацию задом наперед (с конца в начало)\n(F4),倒著播動畫\n(F4)
PLAYFORWARD_HT,Play the animation forward (from beginning to end)\n(F5),Αναπαραγωγή της κίνησης κανονικά (από την αρχή προς το τέλος)\n(F5),Jouer l'animation (du début vers la fin)\n(F5),Spiele die Animation vorwärts ab (vom Anfang bis zum Ende)\n(F5),Odtwórz animację od początku\n(F5),Toque a animação de frente pra trás (do começo até o fim)\n(F5),Проиграть анимацию по умолчанию (с начала в конец)\n(F5),播動畫\n(F5)
NEXTFRAME_HT,Go to the next frame\n(Ctrl+Right),Μετάβαση στο επόμενο καρέ\n(Ctrl+Δεξιά),Aller à la prochaine trame\n(Ctrl + Droite),Gehe zum nächsten Frame\n(Strg+Pfeil nach Rechts),Przejdź do następnej klatki\n(Ctrl+Strzałka w prawo),Ir para o proxímo quadro\n(Ctrl + Right),На следующий кадр\n(Ctrl+Right),到後一張\n(Ctrl+Right)
LASTFRAME_HT,Jump to the last frame\n(Ctrl+End),Μετάβαση στο τελευταίο καρέ\n(Ctrl+End),Aller à la dernière trame\n(Ctrl + Fin),Springe zum letzten Frame\n(Strg+Ende),Skocz do ostatniej klatki\n(Ctrl+End),Pular para o último quadro\n(Ctrl + End),Перейти на последний кадр\n(Ctrl+End),跳到最後一張\n(Ctrl+End)
FPS_HT,"How many frames per second should the animation preview be?\nThe more FPS, the faster the animation plays.","Πόσα καρέ ανά δευτερόλεπτο (FPS) να είναι η προεπισκόπηση της κίνησης;\nΌσο περισσότερα FPS, τόσο πιο γρήγορα παίζει η κίνηση.","Combien d'images par seconde pour l'aperçu de l'animation ?\nPlus cette valeur est élevée, plus l'animation sera jouée rapidement.","Wie viele Frames pro Sekunde sollte die Animationsvorschau haben?\n Je mehr FPS, desto schneller wird die Animation abgespielt.",W ilu klatkach na sekundę odtwarzana ma być animacja?\nWiększa ilość klatek na sekundę powoduje szybsze odtwarzanie.,"Quantos quadros por segundo a animação deverá tocar? Quanto mais FPS (quadros por segundo), mais rápido a animação tocará",Число кадров в секунду для просмотра анимации?\nБольшее число кадров в секунду ускорит анмацию.,"動畫預覽每秒要多少張?\nFPS越高, 動畫播得越快"
No loop,No loop,Όχι επανάληψη,Pas de bouclage,Keine Wiederholungsschleife,Brak zapętlania,Sem loop,Не зацикливать,不重複
Cycle loop,Cycle loop,Κυκλική επανάληψη,Bouclage en cycle,Zyklusschleife,Zapętl odtwarzanie,Loop cíclico,Зациклить,輪迴重複
Ping-pong loop,Ping-pong loop,Επανάληψη πινγκ-πονγκ,Bouclage en ping-pong,Ping Pong Loop,Zapętlanie typu ping-pong,Loop vai-e-vem,Пинг-Понг,乒乓重複
Onion Skinning:,Onion Skinning:,Γειτονικά καρέ:,Peau d'oignon :,Onion Skinning:,Kalkowanie klatek:,Papel Vegetal:,Шлейф смежных кадров:,洋蔥皮:
Past Frames,Past Frames,Παρελθοντικά καρέ,Trames passées,Letzten Frames,Przeszłe klatki,Quadros Anteriores,Предыдущие кадры,過去畫面
Future Frames,Future Frames,Μελλοντικά καρέ,Trames futures,Nächsten Frames,Przyszłe klatki,Quadro Sucessores,Последующие кадры,未來畫面
Blue-Red Mode,Blue-Red Mode,Μπλε-Κόκκινη λειτουργία,Mode rouge-bleu,Blau-Roter Modus,Niebiesko-czerwone prześwity,Modo Azul-Vermelho,Сине-красный режим,藍紅模式
Add a new frame,Add a new frame,Προσθήκη νέου καρέ,Ajouter une trame,Füge einen neuen Frame hinzu,Dodaj nową klatkę,Adicionar um novo quadro,Добавить новый кадр,新增畫面
Remove Frame,Remove Frame,Διαγραφή Καρέ,Supprimer la trame,Entferne Frame,Usuń klatkę,Remover quadro,Удалить кадр,刪除畫面
Clone Frame,Clone Frame,Κλωνοποίηση Καρέ,Cloner la trame,Kopiere Frame,Klonuj klatkę,Clonar quadro,Клонировать кадр,複製畫面
Move Left,Move Left,Μετακίνηση Αριστερά,Déplacer vers la gauche,Bewege nach Links,Przesuń w lewo,Mover para a Esquerda,Сместить влево,左移
Move Right,Move Right,Μετακίνηση Δεξιά,Déplacer vers la droite,Bewege nach Rechts,Przesuń w prawo,Mover para a Direita,Сместить вправо,右移
